id	document	labels
120	하나금융투자는 12일 SK하이닉스 000660 에 대해 디램 가격이 올 4분기부터 6개월에 걸쳐 15% 하락한다고 가정한다면서 목표가를 13만원으로 21% 하향 조정했다. 다만 투자의견은 ‘매수’를 유지했다. 김경민 연구원은 이날 보고서에서 “SK하이닉스의 내년 영업이익 추정치를 14조4000억원에서 10조8000억원으로 하향조정한다”며 “디램 평균 가격이 2021년 4분기와 2022년 1분기에 걸쳐 각각 5% 10% 하락한 후 2022년 2 3 4분기에 반등하지 않고 유지된다고 가정했다”고 말했다. 내년 영업이익 전망치 10조8000억원은 올해 추정치 11조4000억원 대비 5% 가량 줄어든 수준이다. 김 연구원은 “서버시장 고객사들의 6개월 단위 구매 패턴을 생각하면 내년 2 3분기 디램 평균 가격이 반등한다고 가정할 수 있겠다”며 “그러나 최근 PC 디램 현물 가격 하락이 ‘왝 더 독’ 현상처럼 서버 디램 가격 하락을 유빌한 후 가격 반등을 제한할 수 있다고 가혹하게 전망했다”고 했다. 그러면서 “PC 디램 현물 가격이 하락하면 수요처에서는 가격이 더 하락하기를 기다리는데 내일이면 가격이 더 하락할 수 있는 제품의 재고를 굳이 오늘 채워넣지 않아도 되기 때문”이라며 “이같은 관성적 구매 패턴이 내년에 지속된다고 가정했다”고 설명했다. 다만 투자의견을 매수로 유지한 것과 관련해서는 “메모리 반도체 업종에 대한 관심이 낮아져 연말 전까지 전고점 회복 수준의 유의미한 반등이 힘들겠지만 주가가 공포감을 반영해 단기 급락했기 때문에 추가적으로 하락할 가능성은 제한적”이라고 말했다	0
121	파이낸셜뉴스 세계 반도체 시장을 이끌고 있는 삼성전자와 SK하이닉스의 주가가 엇갈리고 있다. 국내 대표주식인 삼성전자 주가는 방향성을 찾지 못하고 횡보하고 있는 반면 SK하이닉스는 2001년 이후 최고가를 경신하고 있는 것이다. 전문가들은 삼성전자가 모바일 판매에 대한 의구심과 비메모리 반도체 실적 부진 등으로 상대적인 약세를 보이고 있다고 지적했다. 다만 삼성전자도 메모리 반도체의 업황 개선에 힘입어 조만간 랠리에 동참할 것으로 전망됐다. 2일 증시에서 삼성전자 주가는 전 거래일에 비해 1100원 1.33% 상승한 8만3600원으로 마감됐다. 전 거래 급락세에서 벗어난 것은 긍정적이지만 전일 미 나스닥지수가 3% 이상 급등한 것을 고려하면 다소 아쉬운 성적이다. 반면 SK하이닉스 주가는 전일에 비해 3000원 2.12% 오른 14만4500원으로 장을 마쳤다. 특히 장중에는 15만500원을 터치하며 2001년 이후 최고가를 찍었다. 삼성전자와 SK하이닉스 주가가 서로 다른 모양을 그린 것은 지난 2월부터다. 지난 2월 1일 12만5000원이었던 SK하이닉스 주가는 26일 14만1500원으로 상승했다. SK하이닉스 주가가 오름세를 지속하자 키움증권은 19만원 NH투자증권과 유진투자증권도 각각 18만원 17만원으로 목표가를 일제히 상향하기도 했다. 반면 1월까지만 해도 주당 9만원선을 넘으며 십만전자 삼성전자 주가 10만원 기대감이 커졌던 삼성전자는 2월 1일 8만3000원으로 주저앉은 뒤 26일 8만2500원까지 떨어지며 부진한 모습을 보였다. 이처럼 SK하이닉스와 삼성전자 주가에 온도차가 느껴지는 이유는 메모리 반도체 비중 때문이다. SK하이닉스의 경우 메모리 반도체가 주력이기 때문에 D램 가격 상승 수혜를 온전히 받을 수 있다는 평가다. 박유악 키움증권 연구원은 PC 및 스마트폰 수요 호조의 영향으로 인해 D램과 NAND의 출하량이 기대치를 넘어설 것 이라며 SK하이닉스의 올해 1·4분기 매출액 8조3000억원 영업이익 1조3000억원을 기록하며 시장 컨센서스 영업이익 1조2000억원 를 상회할 전망 이라고 말했다. 최영산 이베스트투자증권 연구원은 삼성전자의 경우 모바일 비중이 높다 며 모바일 판매에 대한 의구심과 비메모리 부문의 고전으로 올해 1·4분기 실적에 대한 우려가 있다 고 지적했다. 최도연 신한금융투자증권 연구원은 신규 팹 초기 비용이 부담이 디램 가격 상승으로 반도체 실적이 소폭 개선되고 갤럭시S21 출시 효과로 IM IT·메모리 실적도 개선될 전망 이라며 반면 DP 디스플레이 와 CE 소비자가전 는 계절성 영향으로 실적 감소가 예상된다 고 예상했다. 최도연 연구원은 삼성전자의 올해 1·4분기 매출액은 전년 대이 3.9% 감소한 59조2000억원 영업이익은 8.1% 줄어든 8조3200억원에 그칠 것으로 전망하고 있다. 다만 메모리 반도체 등이 실적 개선을 주도하면서 삼성전자도 조만간 반도체 랠리를 본격적으로 탈 전망이다. 최도연 연구원은 삼성전자 이익의 약 60%가 메모리 반도체 라며 D램 가격 급등과 NAND 턴어라운드로 메모리 반도체 업황이 매우 빠르게 개선될 전망인 가운데 메모리 반도체 1위 업체인 삼성전자가 주가 랠리에 동참하지 않을 이유는 없다 고 말했다. 한편 지난 1일 PC용 D램 DDR4 8기가바이트 제품 현물 평균가는 4달러37센트를 기록했다. D램 현물가격이 4달러를 돌파한 것은 2019년 4월 이후 처음이다. sjmary fnnews.com 서혜진 기자 헉 소리나는 스 토리 뉴스 헉스 아는 척 하고 싶은 당신을 위한 두유노우 날로먹고 구워먹는 금융이슈 파인애플 ※ 저작권자 ⓒ 파이낸셜뉴스	0
122	이미지출처 연합뉴스 아시아경제 이민지 기자 SK하이닉스가 장 초반 5%대 오름세를 보이고 있다. 반도체 업황에 대한 긍정적인 시각이 유지된 가운데 ASML과 극자외선 EUV 스캐너 구매 계약을 했다는 점이 주가에 긍정적인 영향을 준 것으로 분석된다. 25일 오전 9시 18분 SK하이닉스는 전 장대비 5.15% 오른 14만3000원을 가리키고 있다. 이날 주가는 장중 14만3000원까지 올라 신고가 14만3500원 경신을 눈앞에 뒀다. 전일 SK하이닉스는 네덜란드 ASML ASML Holding N.V. 과 4조7549억2264만원 규모의 극자외선 EUV Extreme Ultraviolet 스캐너 공급계약을 맺었다고 공시했다. 이에 대해 회사 측은 “차세대 공정 양산 대응을 위한 EUV 장비 확보 목적이다”고 설명했다. 이에 대해 김경민 하나금융투자 연구원은 “이번 설비투자는 원가 측면에서 D램 공정 일부의 패터닝 속도를 앞당기게 될 것”이라며 “이번 공시는 SK하이닉스 주가에 긍정적”이라고 설명했다. 한편 전일 미국 증시에선 반도체 가격 상승 영향을 반영해 웨스턴디지털이 5%가량 올라 필라델피아반도체지수는 3.2% 상승 마감했다	1
123	D램 침체 따른 반도체 업황 우려 리포트 영향 지속 이데일리 김인경 기자 반도체 업황에 대한 우려 속에 삼성전자가 13일 장 초반 2%대 약세로 출발하고 있다. 마켓포인트에 따르면 오전 9시 15분 현재 삼성전자 005930 는 전 거래일보다 2.86% 2200원 내린 7만4800원에 거래 중이다. 매도 창구는 외국계가 주를 이루고 있다. 골드만삭스 씨티그룹 CS증권 모건스탠리가 매도에 나서고 있다. 같은 시간 SK하이닉스 000660 역시 0.80% 800원 하락하며 9만9700원을 기록 중이다. SK하이닉스 역시 모건스탠리 유비에스 골드만삭스 등 외국계가 매도를 주도 중이다. 특히 SK하이닉스는 장 초반 한때 1%대까지 빠지며 시가총액 2위 자리 마저 NAVER 035420 에 내줬다. 현재는 낙폭을 만회하며 시총 2위 72조5090억원 으로 NAVER 035420 72조3580억원 을 간신히 앞지르고 있다. 이번 약세는 외국계 증권사 모건스탠리의 D램 침체 경고에서 시작됐다. 모건스탠리는 최근 ‘겨울이 오고 있다 Winter Is Coming ’ 제목의 리포트를 통해 “D램 업황은 활력을 잃고 있다”고 했다. 모건스탠리는 마이크론 목표주가를 105달러에서 75달러 하향했으며 투자의견을 중립으로 조정했다. 사실상 매도 의견이다. 홍콩계 증권사인 CLSA 역시 “PC와 스마트폰 주문자상표부착생산 OEM 업체들이 메모리 반도체 재고를 줄이기 시작했다”며 주요 D램 업체들에 대한 목표주가를 줄줄이 낮췄다. 이에 삼성전자는 전날 1.91% 하락하는 등 나흘째 약세다. SK하이닉스 역시 7거래일 연속 하락하며 10만원선까지 내주고 말았다. 간밤 나스닥에 상장된 대표적인 반도체주 마이크론 주가 역시 6.37% 하락한 주당 70.25달러에 거래를 마쳤다	0
124	매출 8.5조원···전년대비 18% 상승 메모리 제품 수요 증가·수율 개선 영향 12GB MCP·EUV 기반 4세대 제품 양산 계획 이석희 SK하이닉스 대표이사 사장 사진제공 SK하이닉스 서울경제 SK하이닉스가 지난 1분기 영업이익이 전년 대비 66% 증가하는 호실적을 기록했다. SK하이닉스는 올해 1분기 매출액 8조 4 942억 원 영업이익 1조 3 244억 원 영업이익률 16% 순이익 9 926억 원 순이익률 12% 의 경영실적을 기록했다고 28일 발표했다. 매출과 영업이익은 전년 동기 대비 각각 18% 66% 증가했으며 전 분기 대비 7% 37% 올랐다. 보통 1분기는 계절적 비수기이지만 PC와 모바일에 적용되는 메모리 제품에 대한 수요가 늘어나면서 실적에 호재로 작용했다고 회사는 밝혔다. 또 주요 제품의 수율이 빠르게 개선되면서 원가 경쟁력도 높아졌다. 먼저 D램은 모바일 PC 그래픽 제품을 중심으로 판매량이 늘었다. 그 결과 전 분기 대비 제품 출하량이 4% 증가했다. 낸드플래시는 모바일에 들어가는 고용량 제품 판매량이 늘어나면서 전 분기 대비 출하량이 21% 증가했다. SK하이닉스는 1분기 이후 시장에 대해서도 밝은 전망을 내놓았다. D램 수요는 지속적으로 늘어나고 낸드플래시 역시 시황이 개선될 것으로 보고 있다. SK하이닉스는 이런 환경에 대응하면서 실적을 높여 가겠다는 계획이다. 세부적으로 D램은 2분기부터 12GB 기가바이트 기반의 고용량 MCP Multi Chip Package 여러 종류의 칩을 묶어 단일 제품으로 만든 반도체 를 공급하겠다고 회사는 밝혔다. 또 D램 주력인 10나노급 3세대 1z 제품의 생산량을 늘리기로 했다. 이어 EUV를 활용해 올해 안에 4세대 1a 제품 양산을 시작하겠다고 덧붙였다. 낸드플래시는 128단 제품의 판매 비중을 높이고 연내 176단 제품 양산을 시작하겠다고 SK하이닉스 측은 강조했다. 이와 함께 SK하이닉스는 환경·사회·지배구조 ESG 경영에도 강한 의지를 밝혔다. 노종원 경영지원담당 부사장 CFO 은 “당사는 지난해 이사회 중심 책임경영 체제 강화 반도체 디스플레이 탄소중립위원회 참여 등 ESG 경영활동을 지속해 왔다”며 “앞으로도 친환경 기술을 적극 개발하는 등 RE100수준을 높여가면서 반도체 산업이 ESG 모범 사례가 되도록 힘쓰겠다”고 말했다	1
125	사진 연합뉴스 유가증권시장 시가총액 규모 2위인 SK하이닉스가 3위 네이버 NAVER 에 8062억원 차이로 쫓기고 있다. SK하이닉스가 더 빠지지 않고 네이버가 1%대로만 상승해도 순위가 바뀔 수 있다. 증시 주도업종을 판단하기 위해 업종 상위 기업들의 시가총액 합이 SK하이닉스를 넘는지를 판단했던 시절과 비교하면 굴욕이다. 13일 한국거래소에 따르면 전일 SK하이닉스는 4.74% 하락한 10만500원에 거래를 마쳤다. 이 회사는 지난 4일 12만1000원으로 마감한 뒤 6거래일 동안 16.94% 하락했다. SK하이닉스의 전일 종가 기준 시가총액은 73조1642억원으로 네이버 72조3580억원 와의 차이가 1.11%로 좁혀졌다. SK하이닉스가 급락하는 동안 네이버가 크게 오른 것도 아니다. 지난 4 12일 네이버 주가는 43만3000원에서 44만500원으로 1.73% 오르는 데 그쳤다. SK하이닉스는 2016년 11월17일 한국전력을 제치고 유가증권시장 시총 2위에 오른 뒤 지금까지 자리를 지키고 있다. 국내 증시에서 삼성전자의 위상이 워낙 독보적인 탓에 금융투자업계에서는 증시 주도 업종을 판단할 때 업종 상위 기업들의 시가총액 합이 2위 기업을 넘어서느냐를 판단의 기준으로 삼기도 했다. 실제 작년 3월 신종 코로나바이러스 감염증 코로나19 확산 사태 이후 인터넷플랫폼과 전기차배터리 관련 업종이 차세대 성장 산업으로 주목되자 네이버·카카오의 시총 합 LG화학·삼성SDI의 시총 합을 SK하이닉스와 비교하기도 했다. 작년 종가 기준으로는 네이버 주가 29만2500원·시총 48조470억원 와 카카오 7만7900원·34조6235억원 의 시가총액 합은 82조6705억원으로 SK하이닉스 11만8500원·86조2683억원 에 미치지 못했다. 올해 들어 전일까지 네이버는 50.60% 카카오는 89.35% 오른 반면 SK하이닉스는 11.39%가 빠졌다. 특히 SK하이닉스는 2월25일의 고점 14만8000원과 비교하면 32.09% 낮은 수준이다. 최근 SK하이닉스의 하락세는 반도체 업황이 꺾일 수 있다는 전망으로 인한 외국인의 공격적인 매도에서 비롯됐다. 지난 5 12일 외국인은 SK하이닉스를 1조8406억원 어치 팔았다. 삼성전자는 3조3342억원 어치를 순매도했다. 최근 대만의 시장조사업체 트렌스포스는 올해 4분기 D램 가격이 최대 5% 하락할 것이라고 전망한 뒤 SK하이닉스의 하락세에 가속도가 붙었다. 트렌스포스의 전망이 증시에 반영된 지난 11일에는 6.22% 전일에는 4.74% 급락했다. 반도체 업황에 대한 증권가의 시각은 갈리고 있다. 하나금융투자는 SK하이닉스의 내년 영업이익 전망치를 14조4000억원에서 10조8000억원으로 수정하며 목표주가를 기존 16만5000원에서 13만원으로 내렸다. 반면 골드만삭스는 메모리 반도체의 가격 하락에도 서버용 제품의 수요가 견조할 것이라며 SK하이닉스에 대한 투자의견 ‘매수’ 목표주가 17만7000원을 유지했다	1
126	에이피티씨는 SK하이닉스와 116억원 규모의 반도체 제조장비 공급 계약을 체결했다고 23일 공시했다. 이는 지난해 연결 기준 매출액의 12.46%에 해당하는 수준이다. 계약 기간은 오는 11월23일까지다	0
127	아시아경제 황준호 기자 SK하이닉스가 2일 개장하자마자 5%대 상승세를 기록하면서 주당 15만원 선까지 올라섰다. SK하이닉스는 9시 12분 현재 전일 종가 대비 5.3% 오른 14만9000원을 기록하고 있다. 장중에는 최고 15만500원까지 올라서면서 장 중 52주 신고가를 기록했다. PC와 스마트폰 수요 호조에 D램과 낸드의 출하량이 기대치를 넘어설 것으로 예상됨에 따른 상승세로 분석된다. D램 가격도 서버 D램의 수급 개선 영향으로 예상치를 조금 웃돌 것으로 전망된다. 박유악 키움증권 연구원은 1분기 영업이익은 전분기대비 35% 늘어난 1조3000억원 수준을 기록할 것 이라면서 매출액은 4% 증가한 8조3000억원 이라고 내다봤다	0
128	SK하이닉스는 한국마이크로소프트와 ‘안성천 종 種 다양성 연구 및 디지털 그린 인재 양성 사업’을 위한 양해각서 MOU 를 체결했다고 19일 발표했다. 경기 용인시에서 발원해 아산만으로 이어지는 안성천은 용인 반도체 클러스터 부지 인근을 흐른다. 안성천의 생태계가 살아나는 모습을 관찰하는 게 이번 협약의 핵심 내용이다. 용인 반도체 클러스터는 2025년 가동을 목표로 인허가 과정을 진행 중이다. 클러스터가 가동되면 정화된 물이 방류돼 안성천의 수량이 늘면 다양한 종류의 생물이 나타날 것으로 회사 측은 기대하고 있다. 두 회사는 마이크로소프트 클라우드 애저 Azure 인공지능 AI 을 활용해 반도체 클러스터 조성 전후의 생태계 변화를 관찰하고 기록할 계획이다	1
129	코스피 시가총액 1 2위 삼성전자와 SK하이닉스가 4일 장 초반 나란히 강세다. 하반기 반도체 업황 개선에 대한 기대감이 외국인들의 순매수로 이어지고 있는 모습이다. 이날 오전 9시 52분 삼성전자는 전 거래일 대비 700원 0.86% 오른 8만2100원에 거래되고 있다. SK하이닉스는 2000원 1.67% 튀어오른 12만2000원을 기록 중이다. 외국인이 적극적으로 순매수에 뛰어들면서 주가를 끌어올리고 있다. 오전 9시 19분 외국인은 삼성전자 주식을 91억6300만원 순매수 중이다. 전날 6260억원 순매수한데 이어 이틀 연속 순매수다. SK하이닉스의 경우 3416억원 순매도 중이지만 앞서 이틀 동안 800억원 어치를 순매수했다. 긍정적인 하반기 반도체 업황 전망이 호재다. 박유악 키움증권 연구원은 4일 보고서에서 하반기 고객들의 DRAM 디램 재고 정상화로 삼성전자 SK하이닉스의 주가 반등이 나타날 것 이라며 모멘텀 약세를 보이고 있는 DRAM 산업은 연말로 가면서 점차 강세를 띌 것 이라고 분석했다. 이어 하반기 삼성전자 P3와 SK하이닉스 M15·M16의 투자가 재개되면 주가의 상승 모멘텀이 본격화될 것 이라며 지난 2년간 소재 업종이 보여왔던 것과 같이 올 하반기부터 반도체 장비의 국산화가 이뤄지기 시작하면 주가 상승을 더욱 자극할 것 이라고 언급했다	0
